
APERTIUM: bengalí	PAR: alacant/í__adj	FORMS: AQ0FP0 bengalines AQ0FS0 bengalina AQ0MP0 bengalins AQ0MS0 bengalí
   OTHER: bengalí	PAR: abdominal__adj	FORMS: AQ0CP0 bengalís AQ0CS0 bengalí

APERTIUM: blaugrana	PAR: agrícol/a__adj	FORMS: AQ0CP0 blaugranes AQ0CS0 blaugrana
   OTHER: blaugrana	PAR: multimèdia__adj	FORMS: AQ0CN0 blaugrana

APERTIUM: caqui	PAR: abdominal__adj	FORMS: AQ0CP0 caquis AQ0CS0 caqui
   OTHER: caqui	PAR: multimèdia__adj	FORMS: AQ0CN0 caqui

APERTIUM: cinquanta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 cinquanta-huitenes AQ0FP0 cinquanta-vuitenes AQ0FS0 cinquanta-huitena AQ0FS0 cinquanta-vuitena AQ0MP0 cinquanta-huitens AQ0MP0 cinquanta-vuitens AQ0MS0 cinquanta-huitè AQ0MS0 cinquanta-huité AQ0MS0 cinquanta-vuitè
   OTHER: cinquanta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 cinquanta-vuitenes AQ0FS0 cinquanta-vuitena AQ0MP0 cinquanta-vuitens AQ0MS0 cinquanta-vuitè AQ0MS0 cinquanta-vuité
   OTHER: cinquanta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 cinquanta-vuitenes AQ0FS0 cinquanta-vuitena AQ0MP0 cinquanta-vuitens AQ0MS0 cinquanta-vuitè AQ0MS0 cinquanta-vuité

APERTIUM: clau	PAR: abdominal__adj	FORMS: AQ0CP0 claus AQ0CS0 clau
   OTHER: clau	PAR: multimèdia__adj	FORMS: AQ0CN0 clau

APERTIUM: divuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 dihuitenes AQ0FP0 divuitenes AQ0FS0 dihuitena AQ0FS0 divuitena AQ0MP0 dihuitens AQ0MP0 divuitens AQ0MS0 dihuitè AQ0MS0 dihuité AQ0MS0 divuitè
   OTHER: divuitè	PAR: ali/è__adj	FORMS: AQ0FP0 divuitenes AQ0FS0 divuitena AQ0MP0 divuitens AQ0MS0 divuitè AQ0MS0 divuité
   OTHER: divuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 divuitenes AQ0FS0 divuitena AQ0MP0 divuitens AQ0MS0 divuitè AQ0MS0 divuité

APERTIUM: dièsel	PAR: abdominal__adj	FORMS: AQ0CP0 dièsels AQ0CS0 dièsel
   OTHER: dièsel	PAR: multimèdia__adj	FORMS: AQ0CN0 dièsel

APERTIUM: escarlata	PAR: agrícol/a__adj	FORMS: AQ0CP0 escarlates AQ0CS0 escarlata
   OTHER: escarlata	PAR: multimèdia__adj	FORMS: AQ0CN0 escarlata

APERTIUM: extra	PAR: multimèdia__adj	FORMS: AQ0CN0 extra
   OTHER: extra	PAR: agrícol/a__adj	FORMS: AQ0CP0 extres AQ0CS0 extra

APERTIUM: granat	PAR: triparti/t__adj	FORMS: AQ0FP0 granades AQ0FS0 granada AQ0MP0 granats AQ0MS0 granat
   OTHER: granat	PAR: multimèdia__adj	FORMS: AQ0CN0 granat

APERTIUM: indie	PAR: abdominal__adj	FORMS: AQ0CP0 indies AQ0CS0 indie
   OTHER: indie	PAR: multimèdia__adj	FORMS: AQ0CN0 indie

