
APERTIUM: abat	PAR: aba/t__n	FORMS: NCFP000 abadesses NCFS000 abadessa NCMP000 abats NCMS000 abat
   OTHER: abat	PAR: abric__n	FORMS: NCMP000 abats NCMS000 abat

APERTIUM: abocador	PAR: abric__n	FORMS: NCMP000 abocadors NCMS000 abocador
   OTHER: abocador	PAR: senyor__n	FORMS: NCFP000 abocadores NCFS000 abocadora NCMP000 abocadors NCMS000 abocador

APERTIUM: abonat	PAR: advoca/t__n	FORMS: NCFP000 abonades NCFS000 abonada NCMP000 abonats NCMS000 abonat
   OTHER: abonat	PAR: abric__n	FORMS: NCMP000 abonats NCMS000 abonat

APERTIUM: acusatiu	PAR: administrati/u__n	FORMS: NCFP000 acusatives NCFS000 acusativa NCMP000 acusatius NCMS000 acusatiu
   OTHER: acusatiu	PAR: abric__n	FORMS: NCMP000 acusatius NCMS000 acusatiu

APERTIUM: adaptador	PAR: abric__n	FORMS: NCMP000 adaptadors NCMS000 adaptador
   OTHER: adaptador	PAR: senyor__n	FORMS: NCFP000 adaptadores NCFS000 adaptadora NCMP000 adaptadors NCMS000 adaptador

APERTIUM: ADN	PAR: BBVA__n	FORMS: NCMS000 ADN
   OTHER: ADN	PAR: IRPF__n	FORMS: NCMN000 ADN
   OTHER: ADN	PAR: campus__n	FORMS: NCMN000 ADN

APERTIUM: ADSL	PAR: BBVA__n	FORMS: NCMS000 ADSL
   OTHER: ADSL	PAR: ATS__n	FORMS: NCCN000 ADSL
   OTHER: ADSL	PAR: guardaespatlles__n	FORMS: NCCN000 ADSL

APERTIUM: aeròbic	PAR: atletisme__n	FORMS: NCMS000 aeròbic
   OTHER: aeròbic	PAR: abric__n	FORMS: NCMP000 aeròbics NCMS000 aeròbic

APERTIUM: agafador	PAR: abric__n	FORMS: NCMP000 agafadors NCMS000 agafador
   OTHER: agafador	PAR: senyor__n	FORMS: NCFP000 agafadores NCFS000 agafadora NCMP000 agafadors NCMS000 agafador

APERTIUM: ajudant	PAR: acompanyant__n	FORMS: NCCP000 ajudants NCCS000 ajudant
   OTHER: ajudant	PAR: senyor__n	FORMS: NCFP000 ajudantes NCFS000 ajudanta NCMP000 ajudants NCMS000 ajudant

APERTIUM: albedo	PAR: abric__n	FORMS: NCMP000 albedos NCMS000 albedo
   OTHER: albedo	PAR: accessibilitat__n	FORMS: NCFP000 albedos NCFS000 albedo

APERTIUM: albí	PAR: alacant/í__n	FORMS: NCFP000 albines NCFS000 albina NCMP000 albins NCMS000 albí
   OTHER: albí	PAR: boc/í__n	FORMS: NCMP000 albins NCMS000 albí

APERTIUM: alcalde	PAR: alcalde__n	FORMS: NCFP000 alcaldesses NCFS000 alcaldessa NCMP000 alcaldes NCMS000 alcalde
   OTHER: alcalde	PAR: acompanyant__n	FORMS: NCCP000 alcaldes NCCS000 alcalde

APERTIUM: aler	PAR: abric__n	FORMS: NCMP000 alers NCMS000 aler
   OTHER: aler	PAR: senyor__n	FORMS: NCFP000 aleres NCFS000 alera NCMP000 alers NCMS000 aler

APERTIUM: algicida	PAR: accionist/a__n	FORMS: NCCP000 algicides NCCS000 algicida
   OTHER: algicida	PAR: carism/a__n	FORMS: NCMP000 algicides NCMS000 algicida

APERTIUM: alimentador	PAR: abric__n	FORMS: NCMP000 alimentadors NCMS000 alimentador
   OTHER: alimentador	PAR: senyor__n	FORMS: NCFP000 alimentadores NCFS000 alimentadora NCMP000 alimentadors NCMS000 alimentador

APERTIUM: almirall	PAR: acompanyant__n	FORMS: NCCP000 almiralls NCCS000 almirall
   OTHER: almirall	PAR: abric__n	FORMS: NCMP000 almiralls NCMS000 almirall

APERTIUM: almogàver	PAR: acompanyant__n	FORMS: NCCP000 almogàvers NCCS000 almogàver
   OTHER: almogàver	PAR: abric__n	FORMS: NCMP000 almogàvers NCMS000 almogàver

APERTIUM: alzheimer	PAR: atletisme__n	FORMS: NCMS000 alzheimer
   OTHER: alzheimer	PAR: abric__n	FORMS: NCMP000 alzheimers NCMS000 alzheimer

APERTIUM: ametista	PAR: abell/a__n	FORMS: NCFP000 ametistes NCFS000 ametista
   OTHER: ametista	PAR: accionist/a__n	FORMS: NCCP000 ametistes NCCS000 ametista

APERTIUM: amor	PAR: abric__n	FORMS: NCMP000 amors NCMS000 amor
   OTHER: amor	PAR: acompanyant__n	FORMS: NCCP000 amors NCCS000 amor

APERTIUM: amplificador	PAR: abric__n	FORMS: NCMP000 amplificadors NCMS000 amplificador
   OTHER: amplificador	PAR: senyor__n	FORMS: NCFP000 amplificadores NCFS000 amplificadora NCMP000 amplificadors NCMS000 amplificador

APERTIUM: andorrà	PAR: americ/à__n	FORMS: NCFP000 andorranes NCFS000 andorrana NCMP000 andorrans NCMS000 andorrà
   OTHER: andorrà	PAR: bacall/à__n	FORMS: NCMP000 andorrans NCMS000 andorrà

APERTIUM: apatxe	PAR: abric__n	FORMS: NCMP000 apatxes NCMS000 apatxe
   OTHER: apatxe	PAR: acompanyant__n	FORMS: NCCP000 apatxes NCCS000 apatxe

APERTIUM: aplicador	PAR: abric__n	FORMS: NCMP000 aplicadors NCMS000 aplicador
   OTHER: aplicador	PAR: senyor__n	FORMS: NCFP000 aplicadores NCFS000 aplicadora NCMP000 aplicadors NCMS000 aplicador

APERTIUM: app	PAR: càries__n	FORMS: NCFN000 app
   OTHER: app	PAR: accessibilitat__n	FORMS: NCFP000 apps NCFS000 app

APERTIUM: aprenent	PAR: senyor__n	FORMS: NCFP000 aprenentes NCFS000 aprenenta NCMP000 aprenents NCMS000 aprenent
   OTHER: aprenent	PAR: acompanyant__n	FORMS: NCCP000 aprenents NCCS000 aprenent

APERTIUM: apropiacionisme	PAR: abric__n	FORMS: NCMP000 apropiacionismes NCMS000 apropiacionisme
   OTHER: apropiacionisme	PAR: BBVA__n	FORMS: NCMS000 apropiacionisme
   OTHER: apropiacionisme	PAR: atletisme__n	FORMS: NCMS000 apropiacionisme

APERTIUM: ardor	PAR: abric__n	FORMS: NCMP000 ardors NCMS000 ardor
   OTHER: ardor	PAR: acompanyant__n	FORMS: NCCP000 ardors NCCS000 ardor

APERTIUM: ari	PAR: adjudicat/ari__n	FORMS: NCFP000 àries NCFS000 ària NCMP000 aris NCMS000 ari
   OTHER: ari	PAR: abric__n	FORMS: NCMP000 aris NCMS000 ari

APERTIUM: armeni	PAR: arm/eni__n	FORMS: NCFP000 armènies NCFS000 armènia NCMP000 armenis NCMS000 armeni
   OTHER: armeni	PAR: abric__n	FORMS: NCMP000 armenis NCMS000 armeni

APERTIUM: aroma	PAR: abell/a__n	FORMS: NCFP000 aromes NCFS000 aroma
   OTHER: aroma	PAR: accionist/a__n	FORMS: NCCP000 aromes NCCS000 aroma

APERTIUM: arxiduc	PAR: du/c__n	FORMS: NCFP000 arxiduquesses NCFS000 arxiduquessa NCMP000 arxiducs NCMS000 arxiduc
   OTHER: arxiduc	PAR: abric__n	FORMS: NCMP000 arxiducs NCMS000 arxiduc

APERTIUM: assalariat	PAR: advoca/t__n	FORMS: NCFP000 assalariades NCFS000 assalariada NCMP000 assalariats NCMS000 assalariat
   OTHER: assalariat	PAR: abric__n	FORMS: NCMP000 assalariats NCMS000 assalariat

APERTIUM: assecador	PAR: abric__n	FORMS: NCMP000 assecadors NCMS000 assecador
   OTHER: assecador	PAR: senyor__n	FORMS: NCFP000 assecadores NCFS000 assecadora NCMP000 assecadors NCMS000 assecador

APERTIUM: assistent	PAR: senyor__n	FORMS: NCFP000 assistentes NCFS000 assistenta NCMP000 assistents NCMS000 assistent
   OTHER: assistent	PAR: acompanyant__n	FORMS: NCCP000 assistents NCCS000 assistent

APERTIUM: atletisme	PAR: atletisme__n	FORMS: NCMS000 atletisme
   OTHER: atletisme	PAR: abric__n	FORMS: NCMP000 atletismes NCMS000 atletisme

APERTIUM: atractiu	PAR: administrati/u__n	FORMS: NCFP000 atractives NCFS000 atractiva NCMP000 atractius NCMS000 atractiu
   OTHER: atractiu	PAR: abric__n	FORMS: NCMP000 atractius NCMS000 atractiu

APERTIUM: autoajuda	PAR: abell/a__n	FORMS: NCFP000 autoajudes NCFS000 autoajuda
   OTHER: autoajuda	PAR: BBC__n	FORMS: NCFS000 autoajuda
   OTHER: autoajuda	PAR: bas/a__n	FORMS: NCFS000 autoajuda
   OTHER: autoajuda	PAR: pols__n	FORMS: NCFS000 autoajuda
   OTHER: autoajuda	PAR: q__n	FORMS: NCFS000 autoajuda

APERTIUM: autoorganització	PAR: acci/ó__n	FORMS: NCFP000 autoorganitzacions NCFS000 autoorganització
   OTHER: autoorganització	PAR: BBC__n	FORMS: NCFS000 autoorganització
   OTHER: autoorganització	PAR: pols__n	FORMS: NCFS000 autoorganització
   OTHER: autoorganització	PAR: q__n	FORMS: NCFS000 autoorganització

APERTIUM: balast	PAR: abric__n	FORMS: NCMP000 balasts NCMS000 balast
   OTHER: balast	PAR: abast__n	FORMS: NCMP000 balastos NCMP000 balasts NCMS000 balast

APERTIUM: banyador	PAR: abric__n	FORMS: NCMP000 banyadors NCMS000 banyador
   OTHER: banyador	PAR: senyor__n	FORMS: NCFP000 banyadores NCFS000 banyadora NCMP000 banyadors NCMS000 banyador

APERTIUM: barcelonisme	PAR: atletisme__n	FORMS: NCMS000 barcelonisme
   OTHER: barcelonisme	PAR: abric__n	FORMS: NCMP000 barcelonismes NCMS000 barcelonisme

APERTIUM: baró	PAR: bar/ó__n	FORMS: NCFP000 baronesses NCFS000 baronessa NCMP000 barons NCMS000 baró
   OTHER: baró	PAR: aband/ó__n	FORMS: NCMP000 barons NCMS000 baró

APERTIUM: basa	PAR: bas/a__n	FORMS: NCFS000 basa
   OTHER: basa	PAR: abell/a__n	FORMS: NCFP000 bases NCFS000 basa

