
APERTIUM: abad	PAR: abad__n	FORMS: NCFP000 abadesas NCFS000 abadesa NCMP000 abades NCMS000 abad
   OTHER: abad	PAR: abril__n	FORMS: NCMP000 abades NCMS000 abad

APERTIUM: abasto	PAR: abismo__n	FORMS: NCMP000 abastos NCMS000 abasto
   OTHER: abasto	PAR: atletismo__n	FORMS: NCMS000 abasto

APERTIUM: abonado	PAR: abogad/o__n	FORMS: NCFP000 abonadas NCFS000 abonada NCMP000 abonados NCMS000 abonado
   OTHER: abonado	PAR: abismo__n	FORMS: NCMP000 abonados NCMS000 abonado

APERTIUM: accésit	PAR: abismo__n	FORMS: NCMP000 accésits NCMS000 accésit
   OTHER: accésit	PAR: campus__n	FORMS: NCMN000 accésit

APERTIUM: acelerador	PAR: señor__n	FORMS: NCFP000 aceleradoras NCFS000 aceleradora NCMP000 aceleradores NCMS000 acelerador
   OTHER: acelerador	PAR: abril__n	FORMS: NCMP000 aceleradores NCMS000 acelerador

APERTIUM: aceptor	PAR: abismo__n	FORMS: NCMP000 aceptors NCMS000 aceptor
   OTHER: aceptor	PAR: abril__n	FORMS: NCMP000 aceptores NCMS000 aceptor

APERTIUM: acimut	PAR: abismo__n	FORMS: NCMP000 acimuts NCMS000 acimut
   OTHER: acimut	PAR: abril__n	FORMS: NCMP000 acimutes NCMS000 acimut

APERTIUM: acmé	PAR: abismo__n	FORMS: NCMP000 acmés NCMS000 acmé
   OTHER: acmé	PAR: abeja__n	FORMS: NCFP000 acmés NCFS000 acmé

APERTIUM: acusativo	PAR: abogad/o__n	FORMS: NCFP000 acusativas NCFS000 acusativa NCMP000 acusativos NCMS000 acusativo
   OTHER: acusativo	PAR: abismo__n	FORMS: NCMP000 acusativos NCMS000 acusativo

APERTIUM: acólito	PAR: abogad/o__n	FORMS: NCFP000 acólitas NCFS000 acólita NCMP000 acólitos NCMS000 acólito
   OTHER: acólito	PAR: abismo__n	FORMS: NCMP000 acólitos NCMS000 acólito

APERTIUM: adalid	PAR: albañil__n	FORMS: NCCP000 adalides NCCS000 adalid
   OTHER: adalid	PAR: abril__n	FORMS: NCMP000 adalides NCMS000 adalid

APERTIUM: ADN	PAR: BBVA__n	FORMS: NCMS000 ADN
   OTHER: ADN	PAR: IRPF__n	FORMS: NCMN000 ADN
   OTHER: ADN	PAR: campus__n	FORMS: NCMN000 ADN

APERTIUM: aeróbic	PAR: atletismo__n	FORMS: NCMS000 aerobic
   OTHER: aeróbic	PAR: abismo__n	FORMS: NCMP000 aeróbics NCMS000 aeróbic

APERTIUM: afro	PAR: accionista__n	FORMS: NCCP000 afros NCCS000 afro
   OTHER: afro	PAR: abismo__n	FORMS: NCMP000 afros NCMS000 afro

APERTIUM: agravante	PAR: abeja__n	FORMS: NCFP000 agravantes NCFS000 agravante
   OTHER: agravante	PAR: accionista__n	FORMS: NCCP000 agravantes NCCS000 agravante

APERTIUM: agroalimentación	PAR: cuaresma__n	FORMS: NCFS000 agroalimentación
   OTHER: agroalimentación	PAR: acci/ón__n	FORMS: NCFP000 agroalimentaciones NCFS000 agroalimentación

APERTIUM: agujetas	PAR: afueras__n	FORMS: NCFP000 agujetas
   OTHER: agujetas	PAR: dosis__n	FORMS: NCFN000 agujetas

APERTIUM: aislador	PAR: abril__n	FORMS: NCMP000 aisladores NCMS000 aislador
   OTHER: aislador	PAR: señor__n	FORMS: NCFP000 aisladoras NCFS000 aisladora NCMP000 aisladores NCMS000 aislador

APERTIUM: alabardero	PAR: abismo__n	FORMS: NCMP000 alabarderos NCMS000 alabardero
   OTHER: alabardero	PAR: abogad/o__n	FORMS: NCFP000 alabarderas NCFS000 alabardera NCMP000 alabarderos NCMS000 alabardero

APERTIUM: albañil	PAR: albañil__n	FORMS: NCCP000 albañiles NCCS000 albañil
   OTHER: albañil	PAR: abril__n	FORMS: NCMP000 albañiles NCMS000 albañil

APERTIUM: alcalde	PAR: alcalde__n	FORMS: NCFP000 alcaldesas NCFS000 alcaldesa NCMP000 alcaldes NCMS000 alcalde
   OTHER: alcalde	PAR: abismo__n	FORMS: NCMP000 alcaldes NCMS000 alcalde

APERTIUM: aleluya	PAR: accionista__n	FORMS: NCCP000 aleluyas NCCS000 aleluya
   OTHER: aleluya	PAR: abismo__n	FORMS: NCMP000 aleluyas NCMS000 aleluya

APERTIUM: alero	PAR: abismo__n	FORMS: NCMP000 aleros NCMS000 alero
   OTHER: alero	PAR: accionista__n	FORMS: NCCP000 aleros NCCS000 alero

APERTIUM: alforfón	PAR: abismo__n	FORMS: NCMP000 alforfóns NCMS000 alforfón
   OTHER: alforfón	PAR: aluvi/ón__n	FORMS: NCMP000 alforfones NCMS000 alforfón

APERTIUM: alimentador	PAR: abril__n	FORMS: NCMP000 alimentadores NCMS000 alimentador
   OTHER: alimentador	PAR: señor__n	FORMS: NCFP000 alimentadoras NCFS000 alimentadora NCMP000 alimentadores NCMS000 alimentador

