aberrugat aberrugada [sup. aberrugadíssim]=categories:A; font:apertium;
abestiat abestiada [sup. abestiadíssim]=categories:A; font:apertium;
abrupte abrupta [sup. abruptíssim]=categories:A; font:apertium;
absent [sup. absentíssim]=categories:A; font:apertium;
abstracte abstracta [sup. abstractíssim]=categories:A; font:apertium;
absurd absurda [sup. absurdíssim]=categories:A; font:apertium;
abundós abundosa [sup. abundosíssim]=categories:A; font:apertium;
accidentat accidentada [sup. accidentadíssim]=categories:A; font:apertium;
acomplexat acomplexada [sup. acomplexadíssim]=categories:A; font:apertium;
acurat acurada [sup. acuradíssim]=categories:A; font:apertium;
adequat adequada [sup. adequadíssim]=categories:A; font:apertium;
adolorit adolorida [sup. adoloridíssim]=categories:A; font:apertium;
afecte afecta [sup. afectíssim]=categories:A; font:apertium;
afectuós afectuosa [sup. afectuosíssim]=categories:A; font:apertium;
aferrissat aferrissada [sup. aferrissadíssim]=categories:A; font:apertium;
aficionat aficionada [sup. aficionadíssim]=categories:A; font:apertium;
afortunat afortunada [sup. afortunadíssim]=categories:A; font:apertium;
agosarat agosarada [sup. agosaradíssim]=categories:A; font:apertium;
agraït agraïda [sup. agraïdíssim]=categories:A; font:apertium;
agre agra [sup. agríssim]=categories:A; font:apertium;
agut aguda [sup. agudíssim]=categories:A; font:apertium;
aïllat aïllada [sup. aïlladíssim]=categories:A; font:apertium;
airós airosa [sup. airosíssim]=categories:A; font:apertium;
alacaigut alacaiguda [sup. alacaigudíssim]=categories:A; font:apertium;
alegre [sup. alegríssim]=categories:A; font:apertium;
allunyat allunyada [sup. allunyadíssim]=categories:A; font:apertium;
alt alta [sup. altíssim]=categories:A; font:apertium;
ambiciós ambiciosa [sup. ambiciosíssim]=categories:A; font:apertium;
amic amiga [sup. amiguíssim]=categories:A; font:apertium;
amistós amistosa [sup. amistosíssim]=categories:A; font:apertium;
amorós amorosa [sup. amorosíssim]=categories:A; font:apertium;
ample ampla [sup. amplíssim]=categories:A; font:apertium;
animat animada [sup. animadíssim]=categories:A; font:apertium;
ansiós ansiosa [sup. ansiosíssim]=categories:A; font:apertium;
antic antiga [sup. antiquíssim]=categories:A; font:apertium;
antiquat antiquada [sup. antiquadíssim]=categories:A; font:apertium;
apassionat apassionada [sup. apassionadíssim]=categories:A; font:apertium;
apetitós apetitosa [sup. apetitosíssim]=categories:A; font:apertium;
aplicat aplicada [sup. aplicadíssim]=categories:A; font:apertium;
